DESCRIÇÃO;COD;PN;FABRIC.;LOCAL;CADASTRO LOCAL;COD LOCAL;status:
FERR.DE REMOÇÃO DE FILTRO DE COMB.;030-204-00001;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
EXTRATOR DE PARAFUSO;030-205-00111;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
JOGO DE PUNÇAO E SACA PINOS 13 PEÇAS;030-205-00216;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
EXTRATOR DE JUNTA DE VEDAÇÃO DO ALTERNADOR;030-204-00002;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
WRENCH ;030-204-00003;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
WRENCH ;030-204-00004;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00005;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
WRENCH ;030-204-00006;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00008;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00009;;;FERRAMENTARIA;ESTANTE 6;PRAT 2;
;030-204-00010;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
TUBO GUIA BOROSCOPIO;030-204-00011;PWC34910-600;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
TUBO GUIA BOROSCOPIO;030-204-00012;PWC34910-400;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
TUBO GUIA BOROSCOPIO;030-204-00013;PWC34910-200;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00014;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00015;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-000166;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00016;N/C;;FERRAMENTARIA;ARMARIO 1;PRAT 5;
;030-204-00017;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00018;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00019;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00020;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO ;Q2;
;030-204-00021;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
;030-204-00022;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00023;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00024;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00025;;;FERRAMENTARIA;ESTANTE 2;PRAT 02;
;030-204-00026;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00027;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00028;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00029;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00030;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00031;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00032;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00033;;;FERRAMENTARIA;ARMARIO 1;PRAT 4;
;030-204-00034;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00035;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00036;;;FERRAMENTARIA;Q1 AZUL MOTOR ;Q1 ;
;030-204-00037;SOD1.3382;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
;030-204-00038;;;FERRAMENTARIA;PRAT 1;ESTANTE 4;
;030-204-00039;;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
;030-204-00040;;;FERRAMENTARIA;Q1 AZUL MOTOR ;Q1 ;
;030-204-00041;;;FERRAMENTARIA;Q1 AZUL MOTOR ;Q1 ;
;030-204-00042;;;FERRAMENTARIA;Q1 AZUL MOTOR ;Q1 ;
;030-204-00043;;;FERRAMENTARIA;Q1 AZUL MOTOR ;Q1 ;
;030-204-00044;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00045;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00046;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
PWC30046-54 - SACA RETENTOR PT6;030-204-00047;PWC30046-54;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00049;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00050;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00051;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00052;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00053;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00054;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00055;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
;030-204-00056;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
;030-204-00057;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00058;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00059;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00060;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00060;N/C;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1;
;030-204-00061;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00062;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
;030-204-00063;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
;030-204-00064;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
;030-204-00065;;;FERRAMENTARIA;ESTANTE 1;PRAT 3;
;030-204-00066;;;FERRAMENTARIA;Q1 AZUL MOTOR;Q1 ;
;030-204-00067;;;FERRAMENTARIA;Q4 PRETO;Q4;
;030-204-00068;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00069;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
;030-204-00070;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00071;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00072;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00073;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00074;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00075;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00076;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
;030-204-00077;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00078;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00079;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
;030-204-00080;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
;030-204-00081;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
;030-204-00082;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
TRAVA DE COMANDO;030-204-00083;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
TRAVA CABO DE COMANDO ;030-204-00085;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE COMBINADA 2';030-204-001131;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
BUSHING;030-204-00086;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
FERRAMENTA FLAP;030-204-00087;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAQVE ADAPTADA;030-204-00088;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
SUPORTE MOTOR AMARELO ;030-204-00089;;;FERRAMENTARIA;ESTANTE 2;PRAT 3;
FERRAMENTA DE SOLTAR RODA;030-204-00090;;;FERRAMENTARIA;Q2 AZUL TREM DE POUSO;Q2;
EXTENSÃO LONGA DE 3/8;030-204-00091;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE DZUS;030-204-00092;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
EXTENSÃO MÉDIA 1/2 EX: SOD.3407;030-204-00093;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CABO DE FORÇA 1/2 EX: SOD.3410;030-204-00094;;;FERRAMENTARIA;Q4 PRETO;Q4;
EXTENSÃO LONGA DE 1/2;030-204-00095;;;FERRAMENTARIA;Q4 PRETO;Q4;
DIGITAL NOSE WHEEL STERING INTERFACE HERNESS MODEL 31A;030-204-00096;317006;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
CLAMP-PCU LOCKING, SPOILER;030-204-00097;;;FERRAMENTARIA;ESTANTE 1;PRAT 2;
CHAVE DE PARAFUSO DE ASA 9/16'';030-204-00098;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE  ASA 5/8'';030-204-00099;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
CHAVE DE PARAFUSO DE ASA 9/16;030-204-00100;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
KIT LAVAGEM DO COMPRESSOR MOTOR  PT6 & PT6A ;030-204-001001;K-1152;;FERRAMENTARIA;ESTANTE 2;PRAT 5;
SACA PINO 3/16;030-204-001003;942902WF;;FERRAMENTARIA;ESTANTE 1;PRAT 4;
